,ID,Area,City,Restaurant,price,avg_ratings,total_ratings,food_type,Address,delivery_time,Price_range,Rating_range,Delivery_range,primary_cuisine,num_of_cuisines,popularity_scores,Pop_bracket
8252,395928,Hatibagan,Kolkata,Grameen Kulfi,120.0,4.6,100,"Ice Cream,Desserts",Arabinda Sarani,39,budget,High rated,Fast Delivery,Ice Cream,2,21.229554377469793,Medium Popularity
8253,395985,Kothrud,Pune,Sukhkarta Pure Veg Dining Hall,640.0,4.2,20,North Indian,Kothrud,54,premium,High rated,Moderate,North Indian,1,12.786994238438377,Medium Popularity
8254,396077,Basavanagudi,Bangalore,Candy Cloud Factory,300.0,2.9,80,"Beverages,Desserts,Fast Food,Ice Cream",Basavanagudi,50,mid range,below avg rated,Moderate,Beverages,4,12.743902548550073,Medium Popularity
8255,396263,Ghatlodia,Ahmedabad,Masala Darbar Restaurant,250.0,2.9,80,"Indian,Chinese",Ghatlodia,51,mid range,below avg rated,Moderate,Indian,2,12.743902548550073,Medium Popularity
8256,396275,Kothapet & Dilsukhnagar,Hyderabad,The Country Wok,400.0,3.5,100,"Chinese,Beverages",Kothapet & Dilsukhnagar,63,mid range,avg rated,slow ,Chinese,2,16.15292180894441,Medium Popularity
8257,396407,South Kolkata,Kolkata,Gopalas Pure Veg Multi-Cuisine Restaurant,300.0,4.4,50,Indian,South Kolkata,65,mid range,High rated,slow ,Indian,1,17.300032783987035,Medium Popularity
8258,396697,Adajan,Surat,Royal Schez,300.0,4.1,50,"Indian,Chinese,Fast Food,Thai,Chaat",Adajan,62,mid range,High rated,slow ,Indian,5,16.120485094169734,Medium Popularity
8259,396751,Shantinagar,Bangalore,Pure Veg Meals By Lunchbox,200.0,2.9,80,"North Indian,Desserts,Biryani",Residency Road,45,mid range,below avg rated,Moderate,North Indian,3,12.743902548550073,Medium Popularity
8260,396843,Jadavpur,Kolkata,The Cheesecake Factory,500.0,4.3,20,"Chinese,Desserts,Continental,Tibetan",Jadavpur,83,premium,High rated,slow ,Chinese,4,13.091446482210719,Medium Popularity
8261,396935,Kailash Plaza,Mumbai,Ice Cream Works,300.0,2.9,80,"Ice Cream,Desserts",Ghatkopar Vikhroli,52,mid range,below avg rated,Moderate,Ice Cream,2,12.743902548550073,Medium Popularity
8262,397022,Rajouri Garden,Delhi,Hira Lal Paan,200.0,4.3,50,"Paan,Beverages,Waffle",Rajouri Garden,74,mid range,High rated,slow ,Paan,3,16.9068502207146,Medium Popularity
8263,397171,Himayath Nagar,Hyderabad,Sunnys Chinese,350.0,3.5,20,Chinese,Himayath Nagar,31,mid range,avg rated,Fast Delivery,Chinese,1,10.65582853203198,Medium Popularity
8264,397397,Powai,Mumbai,Pawri Kitchen,400.0,4.5,100,"Indian,Continental,Pastas",Powai,61,mid range,High rated,slow ,Indian,3,20.768042325785668,Medium Popularity
8265,397492,Prahlad Nagar,Ahmedabad,Grab And Go,250.0,4.3,100,"Punjabi,Chinese,Continental",Vejalpur,44,mid range,High rated,Moderate,Punjabi,3,19.845018222417416,Medium Popularity
8266,397744,Nsp,Delhi,Modern Caterers,300.0,4.2,1000,"North Indian,Chinese,Snacks,Beverages,Punjabi",Nsp,46,mid range,High rated,Moderate,North Indian,5,29.016770073123926,High Popularity
8267,397913,Maninagar,Ahmedabad,Baked By Nini S,200.0,2.9,80,"Bakery,Desserts",Maninagar,54,mid range,below avg rated,Moderate,Bakery,2,12.743902548550073,Medium Popularity
8268,397954,Rohini,Delhi,Cake All Time,200.0,2.9,80,"Bakery,Cafe",Rohini,56,mid range,below avg rated,slow ,Bakery,2,12.743902548550073,Medium Popularity
8269,398030,Rajouri Garden,Delhi,Radha Swami Chaap Wala,300.0,2.9,80,"North Indian,Chinese,Tandoor",Rajouri Garden,76,mid range,below avg rated,slow ,North Indian,3,12.743902548550073,Medium Popularity
8270,398062,Basavanagudi,Bangalore,Manchurian Corner,300.0,2.9,80,Chinese,Basavanagudi,53,mid range,below avg rated,Moderate,Chinese,1,12.743902548550073,Medium Popularity
8271,398070,Basavanagudi,Bangalore,Jain And Veg Cuisines,300.0,3.6,20,"Indian,Jain,Beverages,Chinese",Basavanagudi,47,mid range,avg rated,Moderate,Indian,4,10.960280775804323,Medium Popularity
8272,398747,Malleshwaram,Bangalore,Sri Sai Ram Chats And Juice Centre,200.0,4.1,100,"Chaat,Snacks",Malleshwaram,60,mid range,High rated,slow ,Chaat,2,18.921994119049163,Medium Popularity
8273,399096,Mylapore,Chennai,Hotel Chaithra,100.0,4.2,50,"South Indian,Chinese",Mylapore,53,budget,High rated,Moderate,South Indian,2,16.51366765744217,Medium Popularity
8274,399576,Kondhwa,Pune,Jyoti Restaurant,200.0,4.1,1000,"North Indian,South Indian,Beverages,Ice Cream,Chinese,Snacks",Kondhwa,62,mid range,High rated,slow ,North Indian,6,28.325894595192402,High Popularity
8275,399910,Indiranagar,Bangalore,Ministry Of Ice Creams,350.0,2.9,80,"Ice Cream,Desserts,Beverages",Indiranagar,54,mid range,below avg rated,Moderate,Ice Cream,3,12.743902548550073,Medium Popularity
8276,400357,Annanagar,Chennai,Kolambu Box,300.0,2.9,80,"Indian,Street Food,European",Annanagar,62,mid range,below avg rated,slow ,Indian,3,12.743902548550073,Medium Popularity
8277,400587,Santoshnagar & Saidabad,Hyderabad,Anu Tiffin Center,150.0,3.9,20,South Indian,Santoshnagar & Saidabad,47,budget,avg rated,Moderate,South Indian,1,11.87363750712135,Medium Popularity
8278,400600,Matunga Wadala,Mumbai,The Batter Cake House,950.0,2.9,80,"Bakery,Desserts",Matunga Wadala,45,premium,below avg rated,Moderate,Bakery,2,12.743902548550073,Medium Popularity
8279,400777,Rohini,Delhi,Tummy Full,150.0,2.9,80,Snacks,Rohini,30,budget,below avg rated,Fast Delivery,Snacks,1,12.743902548550073,Medium Popularity
8280,401051,Ameerpet,Hyderabad,Milap Pan Shop,100.0,4.5,20,Paan,Ameerpet,67,budget,High rated,slow ,Paan,1,13.700350969755403,Medium Popularity
8281,401165,Kothapet & Dilsukhnagar,Hyderabad,Milkshakes Hub N More,300.0,2.9,80,Beverages,Kothapet & Dilsukhnagar,68,mid range,below avg rated,slow ,Beverages,1,12.743902548550073,Medium Popularity
8282,401306,George Town,Chennai,Guna Bhai Dosa,200.0,2.9,80,Indian,George Town,45,mid range,below avg rated,Moderate,Indian,1,12.743902548550073,Medium Popularity
8283,401571,Salt Lake,Kolkata,Starlight,350.0,2.9,80,Chinese  North Indian  Continental  Fast Food  Snacks,Salt Lake,72,mid range,below avg rated,slow ,Chinese  North Indian  Continental  Fast Food  Snacks,1,12.743902548550073,Medium Popularity
8284,401645,Mogappair,Chennai,Havmor Havfunn,300.0,2.9,80,"Ice Cream,Indian",Mogappair,80,mid range,below avg rated,slow ,Ice Cream,2,12.743902548550073,Medium Popularity
8285,402069,Nallakunta & Vidyanagar,Hyderabad,Juice It Up,150.0,2.9,80,Chaat  Beverages  Juices,Nallakunta & Vidyanagar,48,budget,below avg rated,Moderate,Chaat  Beverages  Juices,1,12.743902548550073,Medium Popularity
8286,402234,Naranpura,Ahmedabad,All In One  Food Point,250.0,2.9,80,"Snacks,Italian,Continental",Naranpura,52,mid range,below avg rated,Moderate,Snacks,3,12.743902548550073,Medium Popularity
8287,402283,Sinhgad Road,Pune,Krishna Bikaner And Dry Fruits,250.0,2.9,80,Sweets,Sinhgad Road,68,mid range,below avg rated,slow ,Sweets,1,12.743902548550073,Medium Popularity
8288,402702,Athwa,Surat,Gourmet Ice Cream Cakes By Baskin Robbins,200.0,2.9,80,"Desserts,Ice Cream,Bakery",Ghodod Road,45,mid range,below avg rated,Moderate,Desserts,3,12.743902548550073,Medium Popularity
8289,402771,Salt Lake,Kolkata,Teekha,500.0,4.3,20,"Indian,Fast Food,Mexican,Continental,Beverages",Salt Lake,68,premium,High rated,slow ,Indian,5,13.091446482210719,Medium Popularity
8290,403037,Royapuram,Chennai,Nic Natural Ice Creams,120.0,4.5,100,"Ice Cream,Desserts",Bc Press Road,52,budget,High rated,Moderate,Ice Cream,2,20.768042325785668,Medium Popularity
8291,403038,Royapuram,Chennai,Grameen Kulfi,120.0,2.9,80,"Ice Cream,Desserts",Bc Press Road,52,budget,below avg rated,Moderate,Ice Cream,2,12.743902548550073,Medium Popularity
8292,403229,Ruby Area,Kolkata,Sri Krishna Hot Chips,200.0,4.4,20,Indian  Fast Food,Ruby Area,67,mid range,High rated,slow ,Indian  Fast Food,1,13.395898725983063,Medium Popularity
8293,403318,Paldi & Ambawadi,Ahmedabad,Amazing Snacks,300.0,2.9,80,"Chinese,Beverages",Paldi & Ambawadi,49,mid range,below avg rated,Moderate,Chinese,2,12.743902548550073,Medium Popularity
8294,403775,Koramangala,Bangalore,Khamma Ghani Sa,500.0,4.6,20,"North Indian,Rajasthani",Koramangala,59,premium,High rated,slow ,North Indian,2,14.004803213527746,Medium Popularity
8295,403893,Royapettah,Chennai,Fasta Pizza,200.0,2.9,80,"Pizzas,Beverages",Royapettah,58,mid range,below avg rated,slow ,Pizzas,2,12.743902548550073,Medium Popularity
8296,403909,Lake Town,Kolkata,Fries Before Guys,200.0,2.9,80,Beverages,Lake Town,79,mid range,below avg rated,slow ,Beverages,1,12.743902548550073,Medium Popularity
8297,404088,Jadavpur,Kolkata,Cfk,500.0,2.9,80,"Pizzas,Pastas,Fast Food",Jadavpur,90,premium,below avg rated,slow ,Pizzas,3,12.743902548550073,Medium Popularity
8298,404454,Vastrapur,Ahmedabad,The Food Box,300.0,2.9,80,"Italian,Pizzas,Pastas",Vastrapur,56,mid range,below avg rated,slow ,Italian,3,12.743902548550073,Medium Popularity
8299,404496,Prashant Vihar,Delhi,Veer Ji Malai Chaap Wale  Prashant Vihar,200.0,3.6,100,"Indian,Tandoor",Rohini,47,mid range,avg rated,Moderate,Indian,2,16.614433860628534,Medium Popularity
8300,404781,Paschim Vihar,Delhi,Sayna Restaurant,150.0,2.9,80,North Indian,Paschim Vihar,65,budget,below avg rated,slow ,North Indian,1,12.743902548550073,Medium Popularity
8301,405127,Koramangala,Bangalore,Hokart - Soori Chaats,150.0,4.9,20,"Fast Food,Street Food,Snacks,Chaat",Koramangala,59,budget,High rated,slow ,Fast Food,4,14.918159944844774,Medium Popularity
8302,405152,Kothapet & Dilsukhnagar,Hyderabad,New Sai Kailash Dhaba,250.0,4.2,100,"Chinese,Biryani,Combo",Kothapet & Dilsukhnagar,54,mid range,High rated,Moderate,Chinese,3,19.38350617073329,Medium Popularity
8303,405165,Sinhgad Road,Pune,Caramellas Cake Shop Navi Peth,100.0,2.9,80,Bakery,Sinhgad Road,33,budget,below avg rated,Fast Delivery,Bakery,1,12.743902548550073,Medium Popularity
8304,405313,Sion Bhakti Park,Mumbai,Akkad Bakkad Bombay Boom,250.0,4.5,20,"Snacks,Italian,Pizzas",Sion Bhakti Park,52,mid range,High rated,Moderate,Snacks,3,13.700350969755403,Medium Popularity
8305,405368,Jodhpur Cross Road,Ahmedabad,New German Waffles & Co,200.0,2.9,80,"Beverages,Desserts,Fast Food",Prahlad Nagar,61,mid range,below avg rated,slow ,Beverages,3,12.743902548550073,Medium Popularity
8306,405967,Isanpur,Ahmedabad,Puffing - The Live Puff,80.0,4.7,50,Indian,Isanpur,49,budget,High rated,Moderate,Indian,1,18.479580473804333,Medium Popularity
8307,406185,Sarthana,Surat,Rasta One Nation,400.0,2.9,80,"Fast Food,Italian,Chinese,Beverages",Sarthana,54,mid range,below avg rated,Moderate,Fast Food,4,12.743902548550073,Medium Popularity
